T,rho,p0,p1,pole1,pole2,delta_real,delta_imag,stokes_angle
1.074999999999999956e+00,-4.642857142857143016e-01,-3.002601530721329848e+00,-8.467690620023113013e+00,-6.841344757835739365e+00,-1.853848081456063568e+01,2.379535700843483426e+00,2.482246047280824097e+00,8.065210923152801303e-01
1.074999999999999956e+00,-4.352380952380952572e-01,-3.049592289965910474e+00,-8.607639964150246570e+00,-6.944718811429976491e+00,-1.854551649176669059e+01,2.357820521156889448e+00,2.482246047280824097e+00,8.110999023121031604e-01
1.074999999999999956e+00,-4.061904761904762129e-01,-3.098259511109318076e+00,-8.753357209412772733e+00,-7.051777195356697447e+00,-1.856781719352068194e+01,2.335533460554282570e+00,2.482246047280824097e+00,8.158410802408136986e-01
1.074999999999999956e+00,-3.771428571428571130e-01,-3.148699488836814275e+00,-8.905275028995310649e+00,-7.162732298956322019e+00,-1.860477136521338082e+01,2.312641945713388658e+00,2.482246047280824097e+00,8.207552813191176799e-01
1.074999999999999956e+00,-3.480952380952381242e-01,-3.201016250326594204e+00,-9.063881396323511197e+00,-7.277813654209925431e+00,-1.865591572753908167e+01,2.289110186642081324e+00,2.482246047280824097e+00,8.258542667414301430e-01
1.074999999999999956e+00,-3.190476190476190244e-01,-3.255322361320555746e+00,-9.229731344561189488e+00,-7.397269732459141878e+00,-1.872091746504590404e+01,2.264898660636814220e+00,2.482246047280824097e+00,8.311510778255974952e-01
1.074999999999999956e+00,-2.900000000000000355e-01,-3.311739835288454614e+00,-9.403462634344789350e+00,-7.521369974665141456e+00,-1.879956074673141231e+01,2.239963466977271889e+00,2.482246047280824097e+00,8.366602513802033902e-01
1.074999999999999956e+00,-2.609523809523809357e-01,-3.370401163552644075e+00,-9.585817197316091054e+00,-7.650407091707296381e+00,-1.889173672725717168e+01,2.214255504488654047e+00,2.482246047280824097e+00,8.423980906710410999e-01
1.074999999999999956e+00,-2.319047619047619468e-01,-3.431450484002112056e+00,-9.777671423075851465e+00,-7.784699677931905093e+00,-1.899743641397031624e+01,2.187719399382614505e+00,2.482246047280824097e+00,8.483830134660110822e-01
1.074999999999999956e+00,-2.028571428571428470e-01,-3.495044912179793517e+00,-9.980080565416127314e+00,-7.924595189299959763e+00,-1.911674596032892026e+01,2.160292069008380444e+00,2.482246047280824097e+00,8.546360104981154393e-01
1.074999999999999956e+00,-1.738095238095238582e-01,-3.561356060815038305e+00,-1.019434684361556265e+01,-8.070473347378909423e+00,-1.924984407999675184e+01,2.131900732931657494e+00,2.482246047280824097e+00,8.611812685165314285e-01
1.074999999999999956e+00,-1.447619047619047583e-01,-3.630571780716384644e+00,-1.042212979657906402e+01,-8.222750042600075915e+00,-1.939700138122699258e+01,2.102460042765248005e+00,2.482246047280824097e+00,8.680470509632610687e-01
1.074999999999999956e+00,-1.157142857142857695e-01,-3.702898161697880663e+00,-1.066563791652030169e+01,-8.381881825009751097e+00,-1.955858150787481620e+01,2.071867717715297985e+00,2.482246047280824097e+00,8.752670074680694023e-01
1.074999999999999956e+00,-8.666666666666666963e-02,-3.778561839420592428e+00,-1.092799277306000150e+01,-8.548371089289362956e+00,-1.973504404827538750e+01,2.039997437208834974e+00,2.482246047280824097e+00,8.828822562348169756e-01
1.074999999999999956e+00,-5.761904761904768080e-02,-3.857812666821842651e+00,-1.121401165200856553e+01,-8.722772083598940185e+00,-1.992694924238531229e+01,2.006686129691333864e+00,2.482246047280824097e+00,8.909450176515810726e-01
1.074999999999999956e+00,-2.857142857142858094e-02,-3.940926816962006196e+00,-1.153222732877090451e+01,-8.905697900427243852e+00,-2.013496458518065779e+01,1.971707893814429458e+00,2.482246047280824097e+00,8.995258852469096844e-01
